Instance	Algorithm	Cmax	Optimal	RelativeError(%)	Time(ms)
--------------------------------------------------------------------------------
10x2	BruteForce	772	772	0.000	4541.344
10x2	Johnson	772	772	0.000	0.016
10x2	M1	832	772	7.772	0.014
10x2	NEH	772	772	0.000	0.105
10x2	B&B	772	772	0.000	142.387

20x2	Johnson	1007	1007	0.000	0.017
20x2	M1	1036	1007	2.880	0.017
20x2	NEH	1007	1007	0.000	0.386
20x2	B&B	1007	1007	0.000	232.458

50x2	Johnson	2407	2407	0.000	0.033
50x2	M1	2416	2407	0.374	0.031
50x2	NEH	2407	2407	0.000	3.193
50x2	B&B	2407	2407	0.000	477.484

100x2	Johnson	4638	4638	0.000	0.054
100x2	M1	4710	4638	1.552	0.050
100x2	NEH	4638	4638	0.000	16.081
100x2	B&B	4638	4638	0.000	628.675

500x2	Johnson	25880	25880	0.000	0.122
500x2	M1	25880	25880	0.000	0.107
500x2	NEH	25880	25880	0.000	746.077
500x2	B&B	25880	25880	0.000	2840.239

1000x2	Johnson	50528	50528	0.000	0.248
1000x2	M1	50549	50528	0.042	0.219
1000x2	NEH	50528	50528	0.000	6134.571
1000x2	B&B	50528	50528	0.000	12603.233

